Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.909766	Node12	0	132	LastDelay	0.132516	132516	1	3
0.909766	Node12	0	132	FullDelay	0.876766	876766	4	3
0.918326	Node12	0	169	LastDelay	0.132576	132576	1	3
0.918326	Node12	0	169	FullDelay	0.876076	876076	4	3
0.926894	Node12	0	415	LastDelay	0.132644	132644	1	3
0.926894	Node12	0	415	FullDelay	0.823144	823144	3	3
0.935462	Node12	0	452	LastDelay	0.132462	132462	1	3
0.935462	Node12	0	452	FullDelay	0.822462	822462	3	3
0.94403	Node12	0	487	LastDelay	0.13278	132780	1	3
0.94403	Node12	0	487	FullDelay	0.82228	822280	3	3
0.952598	Node12	0	524	LastDelay	0.132598	132598	1	3
0.952598	Node12	0	524	FullDelay	0.821598	821598	3	3
0.961166	Node12	0	561	LastDelay	0.132416	132416	1	3
0.961166	Node12	0	561	FullDelay	0.820916	820916	3	3
0.969734	Node12	0	596	LastDelay	0.132734	132734	1	3
0.969734	Node12	0	596	FullDelay	0.820734	820734	3	3
0.978302	Node12	0	633	LastDelay	0.132552	132552	1	3
0.978302	Node12	0	633	FullDelay	0.820052	820052	3	3
0.98687	Node12	0	669	LastDelay	0.13262	132620	1	3
0.98687	Node12	0	669	FullDelay	0.81962	819620	3	3
0.995438	Node12	0	705	LastDelay	0.132688	132688	1	3
0.995438	Node12	0	705	FullDelay	0.819188	819188	3	3
1.00401	Node12	0	741	LastDelay	0.132756	132756	1	3
1.00401	Node12	0	741	FullDelay	0.818756	818756	3	3
1.01257	Node12	0	780	LastDelay	0.132574	132574	1	3
1.01257	Node12	0	780	FullDelay	0.817574	817574	3	3
1.02114	Node12	0	816	LastDelay	0.132642	132642	1	3
1.02114	Node12	0	816	FullDelay	0.817142	817142	3	3
1.02971	Node12	0	852	LastDelay	0.13271	132710	1	3
1.02971	Node12	0	852	FullDelay	0.81671	816710	3	3
1.03828	Node12	0	889	LastDelay	0.132528	132528	1	3
1.03828	Node12	0	889	FullDelay	0.816028	816028	3	3
1.04685	Node12	0	924	LastDelay	0.132846	132846	1	3
1.04685	Node12	0	924	FullDelay	0.815846	815846	3	3
1.05541	Node12	0	961	LastDelay	0.132664	132664	1	3
1.05541	Node12	0	961	FullDelay	0.815164	815164	3	3
1.06398	Node12	0	998	LastDelay	0.132482	132482	1	3
1.06398	Node12	0	998	FullDelay	0.814482	814482	3	3
1.07255	Node12	0	1034	LastDelay	0.1328	132800	1	3
1.07255	Node12	0	1034	FullDelay	0.5738	573800	2	3
1.08112	Node12	0	1070	LastDelay	0.132618	132618	1	3
1.08112	Node12	0	1070	FullDelay	0.524868	524868	2	3
1.08969	Node12	0	1105	LastDelay	0.132686	132686	1	3
1.08969	Node12	0	1105	FullDelay	0.524686	524686	2	3
1.09825	Node12	0	1140	LastDelay	0.132754	132754	1	3
1.09825	Node12	0	1140	FullDelay	0.524504	524504	2	3
1.10682	Node12	0	1176	LastDelay	0.132572	132572	1	3
1.10682	Node12	0	1176	FullDelay	0.524072	524072	2	3
1.11539	Node12	0	1211	LastDelay	0.13264	132640	1	3
1.11539	Node12	0	1211	FullDelay	0.52389	523890	2	3
1.12396	Node12	0	1246	LastDelay	0.132708	132708	1	3
1.12396	Node12	0	1246	FullDelay	0.523708	523708	2	3
1.13253	Node12	0	1281	LastDelay	0.132776	132776	1	3
1.13253	Node12	0	1281	FullDelay	0.523526	523526	2	3
1.14109	Node12	0	1317	LastDelay	0.132594	132594	1	3
1.14109	Node12	0	1317	FullDelay	0.523094	523094	2	3
1.14966	Node12	0	1352	LastDelay	0.132662	132662	1	3
1.14966	Node12	0	1352	FullDelay	0.522912	522912	2	3
1.15823	Node12	0	1387	LastDelay	0.13273	132730	1	3
1.15823	Node12	0	1387	FullDelay	0.52273	522730	2	3
1.1668	Node12	0	1423	LastDelay	0.132548	132548	1	3
1.1668	Node12	0	1423	FullDelay	0.522298	522298	2	3
1.17537	Node12	0	1656	LastDelay	0.132866	132866	1	3
1.17537	Node12	0	1656	FullDelay	0.132866	132866	1	3
1.18393	Node12	0	1691	LastDelay	0.132684	132684	1	3
1.18393	Node12	0	1691	FullDelay	0.132684	132684	1	3
1.1925	Node12	0	1726	LastDelay	0.132502	132502	1	3
1.1925	Node12	0	1726	FullDelay	0.132502	132502	1	3
1.20107	Node12	0	1759	LastDelay	0.13282	132820	1	3
1.20107	Node12	0	1759	FullDelay	0.13282	132820	1	3
1.20964	Node12	0	1794	LastDelay	0.132638	132638	1	3
1.20964	Node12	0	1794	FullDelay	0.132638	132638	1	3
1.21821	Node12	0	1828	LastDelay	0.132706	132706	1	3
1.21821	Node12	0	1828	FullDelay	0.132706	132706	1	3
1.22677	Node12	0	1862	LastDelay	0.132774	132774	1	3
1.22677	Node12	0	1862	FullDelay	0.132774	132774	1	3
1.23534	Node12	0	1897	LastDelay	0.132592	132592	1	3
1.23534	Node12	0	1897	FullDelay	0.132592	132592	1	3
1.24391	Node12	0	1931	LastDelay	0.13266	132660	1	3
1.24391	Node12	0	1931	FullDelay	0.13266	132660	1	3
1.25248	Node12	0	1965	LastDelay	0.132728	132728	1	3
1.25248	Node12	0	1965	FullDelay	0.132728	132728	1	3
1.26105	Node12	0	1999	LastDelay	0.132796	132796	1	3
1.26105	Node12	0	1999	FullDelay	0.132796	132796	1	3
1.26961	Node12	0	2034	LastDelay	0.132614	132614	1	3
1.26961	Node12	0	2034	FullDelay	0.132614	132614	1	3
1.27818	Node12	0	2069	LastDelay	0.132432	132432	1	3
1.27818	Node12	0	2069	FullDelay	0.132432	132432	1	3
1.28675	Node12	0	2102	LastDelay	0.13275	132750	1	3
1.28675	Node12	0	2102	FullDelay	0.13275	132750	1	3
1.29532	Node12	0	2137	LastDelay	0.132568	132568	1	3
1.29532	Node12	0	2137	FullDelay	0.132568	132568	1	3
1.30389	Node12	0	2170	LastDelay	0.132886	132886	1	3
1.30389	Node12	0	2170	FullDelay	0.132886	132886	1	3
1.31245	Node12	0	2205	LastDelay	0.132704	132704	1	3
1.31245	Node12	0	2205	FullDelay	0.132704	132704	1	3
1.32102	Node12	0	2240	LastDelay	0.132522	132522	1	3
1.32102	Node12	0	2240	FullDelay	0.132522	132522	1	3
1.32959	Node12	0	2273	LastDelay	0.13284	132840	1	3
1.32959	Node12	0	2273	FullDelay	0.13284	132840	1	3
1.33815	Node12	0	38	LastDelay	0.13265	132650	1	3
1.33815	Node12	0	38	FullDelay	1.32865	1.32865e+06	5	3
1.34671	Node12	0	77	LastDelay	0.13246	132460	1	3
1.34671	Node12	0	77	FullDelay	1.32746	1.32746e+06	5	3
1.35527	Node12	0	114	LastDelay	0.13277	132770	1	3
1.35527	Node12	0	114	FullDelay	1.32677	1.32677e+06	5	3
1.36383	Node12	0	153	LastDelay	0.13258	132580	1	3
1.36383	Node12	0	153	FullDelay	1.32558	1.32558e+06	5	3
1.37239	Node12	0	191	LastDelay	0.13264	132640	1	3
1.37239	Node12	0	191	FullDelay	1.32464	1.32464e+06	5	3
1.38095	Node12	0	228	LastDelay	0.13245	132450	1	3
1.38095	Node12	0	228	FullDelay	1.32395	1.32395e+06	4	3
1.38952	Node12	0	266	LastDelay	0.132518	132518	1	3
1.38952	Node12	0	266	FullDelay	1.32302	1.32302e+06	4	3
1.39809	Node12	0	303	LastDelay	0.132586	132586	1	3
1.39809	Node12	0	303	FullDelay	1.32234	1.32234e+06	4	3
1.40665	Node12	0	340	LastDelay	0.132654	132654	1	3
1.40665	Node12	0	340	FullDelay	1.32165	1.32165e+06	4	3
1.41522	Node12	0	377	LastDelay	0.132722	132722	1	3
1.41522	Node12	0	377	FullDelay	1.32097	1.32097e+06	4	3
1.42379	Node12	0	414	LastDelay	0.13254	132540	1	3
1.42379	Node12	0	414	FullDelay	1.32029	1.32029e+06	4	3
1.43236	Node12	0	451	LastDelay	0.132608	132608	1	3
1.43236	Node12	0	451	FullDelay	1.31961	1.31961e+06	4	3
1.44093	Node12	0	489	LastDelay	0.132676	132676	1	3
1.44093	Node12	0	489	FullDelay	1.31868	1.31868e+06	4	3
1.44949	Node12	0	526	LastDelay	0.132744	132744	1	3
1.44949	Node12	0	526	FullDelay	1.31799	1.31799e+06	4	3
1.45806	Node12	0	564	LastDelay	0.132562	132562	1	3
1.45806	Node12	0	564	FullDelay	1.31706	1.31706e+06	4	3
1.46663	Node12	0	600	LastDelay	0.13288	132880	1	3
1.46663	Node12	0	600	FullDelay	1.31663	1.31663e+06	4	3
1.4752	Node12	0	639	LastDelay	0.132698	132698	1	3
1.4752	Node12	0	639	FullDelay	1.31545	1.31545e+06	4	3
1.48377	Node12	0	678	LastDelay	0.132516	132516	1	3
1.48377	Node12	0	678	FullDelay	1.31427	1.31427e+06	4	3
1.49233	Node12	0	714	LastDelay	0.132834	132834	1	3
1.49233	Node12	0	714	FullDelay	1.31383	1.31383e+06	4	3
1.5009	Node12	0	752	LastDelay	0.132652	132652	1	3
1.5009	Node12	0	752	FullDelay	1.3129	1.3129e+06	4	3
1.50947	Node12	0	789	LastDelay	0.13272	132720	1	3
1.50947	Node12	0	789	FullDelay	1.31222	1.31222e+06	4	3
1.51804	Node12	0	826	LastDelay	0.132788	132788	1	3
1.51804	Node12	0	826	FullDelay	1.31154	1.31154e+06	4	3
1.52661	Node12	0	864	LastDelay	0.132606	132606	1	3
1.52661	Node12	0	864	FullDelay	1.31061	1.31061e+06	4	3
1.53517	Node12	0	901	LastDelay	0.132674	132674	1	3
1.53517	Node12	0	901	FullDelay	1.30992	1.30992e+06	4	3
1.54374	Node12	0	939	LastDelay	0.132492	132492	1	3
1.54374	Node12	0	939	FullDelay	1.30899	1.30899e+06	4	3
1.55231	Node12	0	975	LastDelay	0.13281	132810	1	3
1.55231	Node12	0	975	FullDelay	1.30856	1.30856e+06	4	3
1.56088	Node12	0	1015	LastDelay	0.132628	132628	1	3
1.56088	Node12	0	1015	FullDelay	1.26113	1.26113e+06	4	3
1.56945	Node12	0	1052	LastDelay	0.132446	132446	1	3
1.56945	Node12	0	1052	FullDelay	1.0177	1.0177e+06	3	3
1.57801	Node12	0	1087	LastDelay	0.132764	132764	1	3
1.57801	Node12	0	1087	FullDelay	1.01751	1.01751e+06	3	3
1.58658	Node12	0	1124	LastDelay	0.132582	132582	1	3
1.58658	Node12	0	1124	FullDelay	1.01683	1.01683e+06	3	3
1.59515	Node12	0	1159	LastDelay	0.1329	132900	1	3
1.59515	Node12	0	1159	FullDelay	1.01665	1.01665e+06	3	3
1.60372	Node12	0	1196	LastDelay	0.132718	132718	1	3
1.60372	Node12	0	1196	FullDelay	1.01597	1.01597e+06	3	3
1.61229	Node12	0	1233	LastDelay	0.132536	132536	1	3
1.61229	Node12	0	1233	FullDelay	1.01529	1.01529e+06	3	3
1.62085	Node12	0	1270	LastDelay	0.132604	132604	1	3
1.62085	Node12	0	1270	FullDelay	1.0146	1.0146e+06	3	3
1.62942	Node12	0	1306	LastDelay	0.132672	132672	1	3
1.62942	Node12	0	1306	FullDelay	1.01417	1.01417e+06	3	3
1.63799	Node12	0	1342	LastDelay	0.13274	132740	1	3
1.63799	Node12	0	1342	FullDelay	1.01374	1.01374e+06	3	3
1.64656	Node12	0	1379	LastDelay	0.132558	132558	1	3
1.64656	Node12	0	1379	FullDelay	1.01306	1.01306e+06	3	3
1.65513	Node12	0	1415	LastDelay	0.132626	132626	1	3
1.65513	Node12	0	1415	FullDelay	1.01263	1.01263e+06	3	3
1.66369	Node12	0	1451	LastDelay	0.132694	132694	1	3
1.66369	Node12	0	1451	FullDelay	1.01219	1.01219e+06	2	3
1.67226	Node12	0	1487	LastDelay	0.132512	132512	1	3
1.67226	Node12	0	1487	FullDelay	1.01176	1.01176e+06	2	3
1.68083	Node12	0	1521	LastDelay	0.13283	132830	1	3
1.68083	Node12	0	1521	FullDelay	1.01183	1.01183e+06	2	3
1.6894	Node12	0	1557	LastDelay	0.132648	132648	1	3
1.6894	Node12	0	1557	FullDelay	1.0114	1.0114e+06	2	3
1.69797	Node12	0	1593	LastDelay	0.132466	132466	1	3
1.69797	Node12	0	1593	FullDelay	1.01097	1.01097e+06	2	3
1.70653	Node12	0	1627	LastDelay	0.132784	132784	1	3
1.70653	Node12	0	1627	FullDelay	1.01103	1.01103e+06	2	3
1.7151	Node12	0	1663	LastDelay	0.132602	132602	1	3
1.7151	Node12	0	1663	FullDelay	0.670852	670852	2	3
1.72367	Node12	0	1698	LastDelay	0.13267	132670	1	3
1.72367	Node12	0	1698	FullDelay	0.67067	670670	2	3
1.73224	Node12	0	1733	LastDelay	0.132738	132738	1	3
1.73224	Node12	0	1733	FullDelay	0.670488	670488	2	3
1.74081	Node12	0	1769	LastDelay	0.132556	132556	1	3
